Timestamp,Status,ResponseTime,Reply
2026-06-26 17:43:58,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:00,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:44:01,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:02,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:04,SUCCESS,260ms,Reply from 4.2.2.2: bytes=32 time=260ms TTL=50
2026-06-26 17:44:05,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:06,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:44:07,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:09,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:10,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:11,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:13,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:44:14,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:15,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:16,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:18,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:19,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:20,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:21,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:23,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:24,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:25,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:27,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:28,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
2026-06-26 17:44:29,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:30,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:44:32,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:33,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:34,SUCCESS,250ms,Reply from 4.2.2.2: bytes=32 time=250ms TTL=50
2026-06-26 17:44:35,SUCCESS,345ms,Reply from 4.2.2.2: bytes=32 time=345ms TTL=50
2026-06-26 17:44:37,SUCCESS,275ms,Reply from 4.2.2.2: bytes=32 time=275ms TTL=50
2026-06-26 17:44:38,SUCCESS,262ms,Reply from 4.2.2.2: bytes=32 time=262ms TTL=50
2026-06-26 17:44:39,SUCCESS,271ms,Reply from 4.2.2.2: bytes=32 time=271ms TTL=50
2026-06-26 17:44:41,SUCCESS,265ms,Reply from 4.2.2.2: bytes=32 time=265ms TTL=50
2026-06-26 17:44:42,SUCCESS,279ms,Reply from 4.2.2.2: bytes=32 time=279ms TTL=50
2026-06-26 17:44:43,SUCCESS,252ms,Reply from 4.2.2.2: bytes=32 time=252ms TTL=50
2026-06-26 17:44:44,SUCCESS,251ms,Reply from 4.2.2.2: bytes=32 time=251ms TTL=50
2026-06-26 17:44:46,SUCCESS,253ms,Reply from 4.2.2.2: bytes=32 time=253ms TTL=50
